Time(Iteration),oracleLinUCB,LinUCB,adTS,dLinUCB,CLUB,DyClu
21,36.772441547568434,366.7514510635306,420.0094914530388,506.15468562116536,426.07422616093635,301.549237934895
22,36.97457816513149,374.6994357995845,430.2281607591547,522.8039455644813,437.24305726383733,302.7174141080482
23,37.27233437433022,381.9336485312971,440.95620004002876,539.4159272390556,446.1524137710101,303.6967038681131
24,37.42911846907053,388.8109325590193,451.2389979233813,555.0414151844054,454.7644782649696,304.3056278526313
25,37.53173451980355,395.5664893489214,460.3295811774489,570.8924520375211,464.1563232100974,304.79037357825536
26,37.66868156260449,400.7466342961076,469.0409263209894,583.9508163157034,470.49122717691154,305.36221057622134
27,37.742459576120794,407.7019785055008,478.52447455152225,594.7548725881023,474.64923101156256,305.95762449697816
28,37.90488698026648,412.79901707066233,487.22032561050804,605.5983100390218,480.01636936641455,306.41461880720067
29,37.916496598479675,419.9380741173026,495.4971464515532,617.4488168216228,486.53087992823276,306.59968765542783
30,38.05941508260678,424.73002034267716,504.180098166022,628.7904717504454,491.074902061752,306.8790089206154
31,38.12001067958565,429.73648667416796,511.9848226930598,641.1546827589685,496.1152537745852,307.1382516272526
32,38.24852418048278,433.6425018544708,519.1105215996587,653.0054784486592,501.7932107895117,307.68245305703806
33,38.402629119180745,437.7363646410321,526.6768001345522,663.916688895709,505.87067791891485,308.15390292772287
34,38.53264842981217,442.03226725399196,533.28525054771,671.8412364246856,508.8968489547177,308.521132479292
35,38.73159913377953,446.7670621195419,539.3432023551256,682.4136224337748,513.1286048003959,308.87520012160047
36,38.8582311536014,451.33229818236646,547.3757747857287,691.348547314317,517.1391933453756,309.0854997445019
37,38.969400465757516,457.04665436309455,553.5699708320377,700.8558388103381,520.8114918274879,309.49885067507176
38,39.04632112310796,460.83821012433697,560.3873139743635,709.350005407255,524.3559613123733,309.8083610142092
39,39.15890763414695,464.5854880591404,566.7761777825368,718.4432737448981,527.9739057403903,309.9970921769763
40,39.44192332066555,469.08962009828423,570.828341692957,725.4236432792596,532.4030177963056,310.459086533413
41,39.56328985048229,472.9283110811238,577.9233342289181,732.1134677837406,536.1647490559156,310.68893886882154
42,39.747396708175984,477.22442361760346,582.3981316085046,739.5035342285591,539.8184324691067,310.8848268974788
43,39.98892320013664,479.7624934499897,587.4970375404864,746.17062849525,542.8119325512226,311.139725933122
44,40.070238066905375,483.57275573966365,594.5210211301821,752.4525716580126,545.8980166344214,311.3862662457302
45,40.21193729747367,486.2217560668747,599.5741226995943,759.8801213205375,548.9692979048693,311.7063332645597
46,40.24255457583732,488.38634792520173,604.8637436443216,765.575711354562,551.6094506428891,311.8742281703237
47,40.36104087118389,490.35758476510716,608.5087330532093,772.5793902780183,554.7785555414678,312.14388063554
48,40.4232818826834,492.5961817933194,612.4193027236214,778.9247898243917,557.5051214860465,312.36713576063875
49,40.458598701143806,495.4784439326284,616.6411468518047,784.2253360307193,560.381453858119,312.5022209219081
50,40.52358390338766,497.8718309425454,621.564799700589,790.0114994735077,563.814624545648,312.5684810852826
51,40.58644135744106,499.44266720339584,625.0000952344274,796.9102312404126,566.732810433097,312.84444673172754
52,40.72086393665291,502.3269394799068,628.8166027681292,801.6314793997112,569.9986927498927,313.1969175042477
53,40.77416763187996,505.23862465474605,632.4480427385275,807.7979852949151,572.4391310986441,313.46146850692185
54,40.86290367824991,508.02776921415364,636.9012749796719,813.0525528170148,574.263753344607,313.63144938112737
55,40.89834087741829,510.0445310807946,640.4150995796392,817.0275348525906,576.9129440231311,313.78637009204533
56,40.9588487325838,511.8907897280453,643.6743772328697,820.5095096610992,578.3569444113725,313.89534661449153
57,41.02295914397664,514.9062825223776,647.8882160788322,827.014632074159,580.9427288654358,314.03059721729716
58,41.08728926198286,516.6641092841536,651.9568582120916,832.2404257618829,583.587637479638,314.183663398331
59,41.17867114821369,518.9515212647608,656.1528023217277,837.1417826145912,586.2441638301857,314.3731550186705
60,41.323416255726855,521.514220788728,659.789066888517,840.6882627520525,588.3262962388802,314.55106754554055
61,41.34689662776926,523.8145481926705,662.8080781924842,844.6340482366785,591.0669694108727,314.5940749513363
62,41.42477397706333,525.7322333719264,666.7226597072925,848.3346820571857,593.0422473726575,314.6699782116953
