Time(Iteration),oracleLinUCBTheta,LinUCBTheta,adTSTheta,dLinUCBTheta,DyCluTheta
48,0.08381652473584256,0.44000250117341566,0.5298443082096811,0.415799833490777,0.47294241739809484
49,0.08377935689221537,0.437748295660006,0.5258201742058707,0.4099342907771538,0.466267898747849
50,0.08332481638090798,0.43310648195480556,0.5200024586419224,0.40760132482805395,0.4630669445454979
51,0.08192023096971696,0.4299295184738522,0.5150411321443832,0.40392261522821404,0.4570938531359914
52,0.08014643319610579,0.424850096000493,0.5097886658003623,0.39783075370155624,0.4499416763691702
53,0.0797767356529836,0.42117460760076575,0.505354918533563,0.39472833633529525,0.44598472384477583
54,0.0800096605025503,0.4182895438644964,0.499008081659712,0.39162268977027537,0.4442339508986058
55,0.07876302225598125,0.4146745271902425,0.4928965644678188,0.3896137784544949,0.4362721753839386
56,0.07810227517758017,0.4090355570859893,0.4852884120912471,0.3845172550542452,0.43154439185968463
57,0.07957970413278731,0.4074854631446046,0.4806937326514503,0.38211304025246073,0.4278791445838705
58,0.07763018018444011,0.4019764178430107,0.4766881037042453,0.3781140368957157,0.42742983757123176
59,0.07558974121397012,0.3979910849630828,0.47322955058073135,0.3748824198255552,0.4230883745222988
60,0.07430770645387513,0.39400070258412356,0.47002887498229223,0.37039298764887557,0.4183075365693019
61,0.07331687272828932,0.3913903153407042,0.46611221073769743,0.36700793262486786,0.41724818536659053
62,0.07329035925317355,0.3868525887735824,0.46211806650755255,0.36504849699010483,0.41291964984161084
63,0.07236942622349193,0.3859353926764952,0.45925113886315017,0.3639595999812396,0.4098661988704598
64,0.07362748791529856,0.3820782223709097,0.457425090038186,0.360409743786144,0.4072141391535269
65,0.07476455497621272,0.38198015026390786,0.45466026093756534,0.3588391682786933,0.4055223113362512
66,0.07351556242356523,0.3784897520605736,0.4507354315555902,0.3569450248645368,0.39955894777196765
